"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 17 18:35:21 GMT 2024","Wed Jul 17 18:35:21 GMT 2024","45","Projects","Get Project Stats","","","","Get Project Stats - No Auth",""
"failed","Wed Jul 17 18:35:19 GMT 2024","Wed Jul 17 18:35:19 GMT 2024","53","Users","","","","","Get Users Stats",""
"passed","Wed Jul 17 18:35:13 GMT 2024","Wed Jul 17 18:35:13 GMT 2024","446","Authentication","Login","","","","Login",""
"passed","Wed Jul 17 18:35:23 GMT 2024","Wed Jul 17 18:35:23 GMT 2024","614","","","","","","OpenAI test",""
"failed","Wed Jul 17 18:35:17 GMT 2024","Wed Jul 17 18:35:17 GMT 2024","50","Roles","Get Role","","","","Get Role",""
"passed","Wed Jul 17 18:35:22 GMT 2024","Wed Jul 17 18:35:22 GMT 2024","49","Projects","Add Project Report","","","","Add Project Report",""
"failed","Wed Jul 17 18:35:21 GMT 2024","Wed Jul 17 18:35:21 GMT 2024","43","Projects","List Project Users","","","","List Project Users",""
"passed","Wed Jul 17 18:35:13 GMT 2024","Wed Jul 17 18:35:13 GMT 2024","56","Authentication","Login","","","","Login - Empty Fields",""
"failed","Wed Jul 17 18:35:20 GMT 2024","Wed Jul 17 18:35:20 GMT 2024","54","Clients","Add Client","","","","Empty Fields - Existing client",""
"failed","Wed Jul 17 18:35:20 GMT 2024","Wed Jul 17 18:35:20 GMT 2024","52","Clients","Get Client Stats","","","","Get Client Stats -  No Auth",""
"passed","Wed Jul 17 18:35:22 GMT 2024","Wed Jul 17 18:35:22 GMT 2024","46","Projects","Add Project Comment","","","","Add Project Comment",""
"failed","Wed Jul 17 18:35:18 GMT 2024","Wed Jul 17 18:35:18 GMT 2024","54","Users","Get User","","","","Get User - No ID",""
"passed","Wed Jul 17 18:35:16 GMT 2024","Wed Jul 17 18:35:16 GMT 2024","46","Profile","","","","","Set Notification Settings",""
"passed","Wed Jul 17 18:35:16 GMT 2024","Wed Jul 17 18:35:16 GMT 2024","43","Profile","","","","","Set Email Settings",""
"failed","Wed Jul 17 18:35:20 GMT 2024","Wed Jul 17 18:35:20 GMT 2024","47","Audit Logs","","","","","Get Audit Log - No Auth",""
"passed","Wed Jul 17 18:35:12 GMT 2024","Wed Jul 17 18:35:13 GMT 2024","51","Authentication","Email SignUp","","","","Complete Email Signup",""
"passed","Wed Jul 17 18:35:19 GMT 2024","Wed Jul 17 18:35:19 GMT 2024","73","Audit Logs","","","","","List Audit Logs",""
"passed","Wed Jul 17 18:35:20 GMT 2024","Wed Jul 17 18:35:20 GMT 2024","45","Clients","Update Client","","","","Update Client",""
"failed","Wed Jul 17 18:35:21 GMT 2024","Wed Jul 17 18:35:21 GMT 2024","46","Projects","Get Project","","","","Get Project - No Auth",""
"failed","Wed Jul 17 18:35:18 GMT 2024","Wed Jul 17 18:35:18 GMT 2024","51","Users","Delete User","","","","Delete User",""
"passed","Wed Jul 17 18:35:23 GMT 2024","Wed Jul 17 18:35:23 GMT 2024","39","","","","","","curl test",""
"passed","Wed Jul 17 18:35:21 GMT 2024","Wed Jul 17 18:35:21 GMT 2024","45","Projects","Create Project","","","","Create Project",""
"failed","Wed Jul 17 18:35:20 GMT 2024","Wed Jul 17 18:35:20 GMT 2024","45","Clients","Get a Client","","","","Get Client",""
"passed","Wed Jul 17 18:35:19 GMT 2024","Wed Jul 17 18:35:19 GMT 2024","39","Workspaces","Delete Workspace","","","","Delete Workspace",""
"passed","Wed Jul 17 18:35:12 GMT 2024","Wed Jul 17 18:35:12 GMT 2024","135","Authentication","Auth Provider","","","","Authorize Provider",""
"failed","Wed Jul 17 18:35:19 GMT 2024","Wed Jul 17 18:35:19 GMT 2024","55","Users","","","","","Resend Invite- Inactive user",""
"failed","Wed Jul 17 18:35:20 GMT 2024","Wed Jul 17 18:35:20 GMT 2024","45","Clients","Update Client","","","","Update Client - No Auth",""
"passed","Wed Jul 17 18:35:22 GMT 2024","Wed Jul 17 18:35:22 GMT 2024","49","Projects","List Project Reports","","","","Get Project Report",""
"passed","Wed Jul 17 18:35:19 GMT 2024","Wed Jul 17 18:35:19 GMT 2024","46","Workspaces","Get Workspace Stats","","","","Get Workspace Stats",""
"failed","Wed Jul 17 18:35:19 GMT 2024","Wed Jul 17 18:35:19 GMT 2024","54","Users","","","","","Resend Invite- Invalid user ID",""
"passed","Wed Jul 17 18:35:22 GMT 2024","Wed Jul 17 18:35:22 GMT 2024","46","Projects","Project Request","","","","Create Project Request",""
"passed","Wed Jul 17 18:35:21 GMT 2024","Wed Jul 17 18:35:21 GMT 2024","42","Billings","List Features","","","","List Features",""
"failed","Wed Jul 17 18:35:17 GMT 2024","Wed Jul 17 18:35:17 GMT 2024","49","Roles","Get Role","","","","Get Role - No Auth",""
"passed","Wed Jul 17 18:35:19 GMT 2024","Wed Jul 17 18:35:19 GMT 2024","79","Workspaces","Create Workspaces","","","","Create Workspace",""
"failed","Wed Jul 17 18:35:19 GMT 2024","Wed Jul 17 18:35:19 GMT 2024","52","Users","Delete Role","","","","Delete Role",""
"passed","Wed Jul 17 18:35:15 GMT 2024","Wed Jul 17 18:35:15 GMT 2024","736","Profile","Change Password","","","","Change Password - Valid",""
"failed","Wed Jul 17 18:35:20 GMT 2024","Wed Jul 17 18:35:20 GMT 2024","45","Clients","Get a Client","","","","Get Client - Invalid ID",""
"failed","Wed Jul 17 18:35:14 GMT 2024","Wed Jul 17 18:35:14 GMT 2024","70","Profile","Generate 2FA","","","","Generate 2FA - No Auth",""
"passed","Wed Jul 17 18:35:20 GMT 2024","Wed Jul 17 18:35:20 GMT 2024","62","Clients","Add Client","","","","Add Client - Valid",""
"failed","Wed Jul 17 18:35:17 GMT 2024","Wed Jul 17 18:35:17 GMT 2024","58","Roles","Update Role","","","","Update Role - Empty status field",""
"failed","Wed Jul 17 18:35:22 GMT 2024","Wed Jul 17 18:35:22 GMT 2024","51","Projects","","","","","Delete Project -oo-",""
